,SECTOR,CP_CLIENTE,total
64,ALIMENTACION,4660,335
65,ALIMENTACION,4540,331
66,ALIMENTACION,4459,327
67,ALIMENTACION,4639,308
68,ALIMENTACION,4838,299
69,ALIMENTACION,4890,295
70,ALIMENTACION,4628,293
71,ALIMENTACION,4869,267
72,ALIMENTACION,4712,254
73,ALIMENTACION,4716,250
74,ALIMENTACION,4638,247
75,ALIMENTACION,4460,233
76,ALIMENTACION,4640,232
77,ALIMENTACION,4727,227
78,ALIMENTACION,4728,225
79,ALIMENTACION,4531,223
80,ALIMENTACION,4280,222
81,ALIMENTACION,4275,222
82,ALIMENTACION,4713,213
83,ALIMENTACION,4210,205
84,ALIMENTACION,4870,191
85,ALIMENTACION,4810,186
86,ALIMENTACION,4420,185
87,ALIMENTACION,4717,184
88,ALIMENTACION,4887,177
89,ALIMENTACION,4568,172
90,ALIMENTACION,4830,169
91,ALIMENTACION,4617,166
92,ALIMENTACION,4114,158
93,ALIMENTACION,4825,155
94,ALIMENTACION,4650,153
95,ALIMENTACION,4859,148
96,ALIMENTACION,4480,146
97,ALIMENTACION,4532,141
98,ALIMENTACION,4567,132
99,ALIMENTACION,4149,131
100,ALIMENTACION,4430,123
101,ALIMENTACION,4779,122
102,ALIMENTACION,4288,106
103,ALIMENTACION,4115,105
104,ALIMENTACION,4213,103
105,ALIMENTACION,4661,103
106,ALIMENTACION,4815,96
107,ALIMENTACION,4440,95
108,ALIMENTACION,4878,95
109,ALIMENTACION,4715,81
110,ALIMENTACION,4276,78
111,ALIMENTACION,4857,77
112,ALIMENTACION,4212,74
113,ALIMENTACION,4479,73
114,ALIMENTACION,4692,71
115,ALIMENTACION,4888,69
116,ALIMENTACION,4879,51
117,ALIMENTACION,4877,46
118,ALIMENTACION,4889,44
119,ALIMENTACION,4211,44
120,ALIMENTACION,4619,38
121,ALIMENTACION,4530,36
122,ALIMENTACION,4621,33
123,ALIMENTACION,4729,33
124,ALIMENTACION,4897,24
125,ALIMENTACION,4813,20
126,ALIMENTACION,4629,16
127,ALIMENTACION,4812,15
128,ALIMENTACION,4616,14
129,ALIMENTACION,4746,13
130,ALIMENTACION,4647,11
131,ALIMENTACION,4898,11
132,ALIMENTACION,4648,10
133,ALIMENTACION,4618,8
134,ALIMENTACION,4259,7
135,ALIMENTACION,4741,6
136,ALIMENTACION,4662,6
137,ALIMENTACION,4868,4
138,ALIMENTACION,4278,2
139,ALIMENTACION,4811,1
140,ALIMENTACION,4778,1
141,ALIMENTACION,4769,1
142,ALIMENTACION,4839,1
143,ALIMENTACION,4549,1
144,AUTO,4009,1751
145,AUTO,4007,1542
146,AUTO,4006,1133
147,AUTO,4008,918
148,AUTO,4120,884
149,AUTO,4230,668
150,AUTO,4005,661
151,AUTO,4720,652
152,AUTO,4004,607
153,AUTO,4700,492
154,AUTO,4002,484
155,AUTO,4003,436
156,AUTO,4131,336
157,AUTO,4130,319
158,AUTO,4740,278
159,AUTO,4001,216
160,AUTO,4240,177
161,AUTO,4117,173
162,AUTO,4738,133
163,AUTO,4710,127
164,AUTO,4711,115
165,AUTO,4110,114
166,AUTO,4770,109
167,AUTO,4150,104
168,AUTO,4410,98
169,AUTO,4250,95
170,AUTO,4140,92
171,AUTO,4716,84
172,AUTO,4560,76
173,AUTO,4400,68
174,AUTO,4100,67
175,AUTO,4750,65
176,AUTO,4721,63
177,AUTO,4713,55
178,AUTO,4151,52
179,AUTO,4715,49
180,AUTO,4760,48
181,AUTO,4712,48
182,AUTO,4118,40
183,AUTO,4745,40
184,AUTO,4520,37
185,AUTO,4260,35
186,AUTO,4470,31
187,AUTO,4727,27
188,AUTO,4113,25
189,AUTO,4200,24
190,AUTO,4270,23
191,AUTO,4600,21
192,AUTO,4116,20
193,AUTO,4458,20
194,AUTO,4160,20
195,AUTO,4279,19
196,AUTO,4569,18
197,AUTO,4717,17
198,AUTO,4450,17
199,AUTO,4271,16
200,AUTO,4500,16
201,AUTO,4620,15
202,AUTO,4610,15
203,AUTO,4630,15
204,AUTO,4409,15
205,AUTO,4800,14
206,AUTO,4510,14
207,AUTO,4867,14
208,AUTO,4431,13
209,AUTO,4880,13
210,AUTO,4531,13
211,AUTO,4460,13
212,AUTO,4550,12
213,AUTO,4860,12
214,AUTO,4813,10
215,AUTO,4889,10
216,AUTO,4870,9
217,AUTO,4420,9
218,AUTO,4660,9
219,AUTO,4459,8
220,AUTO,4887,8
221,AUTO,4280,8
222,AUTO,4728,8
223,AUTO,4638,8
224,AUTO,4549,7
225,AUTO,4617,7
226,AUTO,4149,7
227,AUTO,4746,6
228,AUTO,4820,6
229,AUTO,4479,6
230,AUTO,4639,5
231,AUTO,4850,5
232,AUTO,4640,5
233,AUTO,4729,5
234,AUTO,4532,4
235,AUTO,4540,4
236,AUTO,4692,4
237,AUTO,4430,4
238,AUTO,4275,4
239,AUTO,4114,3
240,AUTO,4741,3
241,AUTO,4830,3
242,AUTO,4210,3
243,AUTO,4480,3
244,AUTO,4628,3
245,AUTO,4567,3
246,AUTO,4812,3
247,AUTO,4877,3
248,AUTO,4838,2
249,AUTO,4857,2
250,AUTO,4815,2
251,AUTO,4890,2
252,AUTO,4743,2
253,AUTO,4859,2
254,AUTO,4568,2
255,AUTO,4616,2
256,AUTO,4878,2
257,AUTO,4661,2
258,AUTO,4212,1
259,AUTO,4869,1
260,AUTO,4213,1
261,AUTO,4440,1
262,AUTO,4650,1
263,AUTO,4779,1
264,AUTO,4211,1
265,AUTO,4648,1
266,AUTO,4810,1
267,BELLEZA,4007,5634
268,BELLEZA,4009,5472
269,BELLEZA,4006,4412
270,BELLEZA,4005,3799
271,BELLEZA,4004,3633
272,BELLEZA,4008,3395
273,BELLEZA,4003,2516
274,BELLEZA,4230,2287
275,BELLEZA,4001,1868
276,BELLEZA,4120,1861
277,BELLEZA,4002,1834
278,BELLEZA,4720,1694
279,BELLEZA,4131,1086
280,BELLEZA,4240,536
281,BELLEZA,4130,477
282,BELLEZA,4740,471
283,BELLEZA,4410,303
284,BELLEZA,4140,294
285,BELLEZA,4250,262
286,BELLEZA,4700,253
287,BELLEZA,4738,232
288,BELLEZA,4560,203
289,BELLEZA,4117,183
290,BELLEZA,4770,177
291,BELLEZA,4400,164
292,BELLEZA,4100,143
293,BELLEZA,4110,124
294,BELLEZA,4150,123
295,BELLEZA,4721,111
296,BELLEZA,4711,109
297,BELLEZA,4760,103
298,BELLEZA,4620,99
299,BELLEZA,4200,94
300,BELLEZA,4800,90
301,BELLEZA,4867,84
302,BELLEZA,4600,83
303,BELLEZA,4860,80
304,BELLEZA,4520,79
305,BELLEZA,4118,71
306,BELLEZA,4270,70
307,BELLEZA,4820,67
308,BELLEZA,4880,67
309,BELLEZA,4850,64
310,BELLEZA,4431,64
311,BELLEZA,4500,63
312,BELLEZA,4271,63
313,BELLEZA,4409,61
314,BELLEZA,4151,58
315,BELLEZA,4260,57
316,BELLEZA,4745,47
317,BELLEZA,4630,46
318,BELLEZA,4727,45
319,BELLEZA,4470,43
320,BELLEZA,4750,42
321,BELLEZA,4639,41
322,BELLEZA,4610,41
323,BELLEZA,4279,41
324,BELLEZA,4710,40
325,BELLEZA,4638,39
326,BELLEZA,4510,34
327,BELLEZA,4567,34
328,BELLEZA,4890,32
329,BELLEZA,4728,31
330,BELLEZA,4640,31
331,BELLEZA,4460,30
332,BELLEZA,4116,30
333,BELLEZA,4531,30
334,BELLEZA,4550,30
335,BELLEZA,4628,29
336,BELLEZA,4280,27
337,BELLEZA,4450,26
338,BELLEZA,4569,25
339,BELLEZA,4459,25
340,BELLEZA,4540,24
341,BELLEZA,4660,23
342,BELLEZA,4113,23
343,BELLEZA,4857,21
344,BELLEZA,4838,21
345,BELLEZA,4825,20
346,BELLEZA,4440,17
347,BELLEZA,4458,17
348,BELLEZA,4149,17
349,BELLEZA,4160,17
350,BELLEZA,4870,16
351,BELLEZA,4617,16
352,BELLEZA,4692,15
353,BELLEZA,4661,15
354,BELLEZA,4810,14
355,BELLEZA,4716,14
356,BELLEZA,4713,12
357,BELLEZA,4114,10
358,BELLEZA,4480,9
359,BELLEZA,4420,9
360,BELLEZA,4276,9
361,BELLEZA,4869,9
362,BELLEZA,4830,8
363,BELLEZA,4479,8
364,BELLEZA,4650,8
365,BELLEZA,4729,8
366,BELLEZA,4115,8
367,BELLEZA,4210,7
368,BELLEZA,4779,7
369,BELLEZA,4859,7
370,BELLEZA,4430,6
371,BELLEZA,4815,6
372,BELLEZA,4212,6
373,BELLEZA,4878,6
374,BELLEZA,4888,5
375,BELLEZA,4887,5
376,BELLEZA,4868,4
377,BELLEZA,4629,4
378,BELLEZA,4715,4
379,BELLEZA,4568,4
380,BELLEZA,4712,4
381,BELLEZA,4213,3
382,BELLEZA,4621,3
383,BELLEZA,4897,3
384,BELLEZA,4259,2
385,BELLEZA,4532,2
386,BELLEZA,4530,2
387,BELLEZA,4717,2
388,BELLEZA,4288,2
389,BELLEZA,4275,1
390,BELLEZA,4812,1
391,BELLEZA,4648,1
392,BELLEZA,4889,1
393,BELLEZA,4877,1
394,BELLEZA,4879,1
395,HOGAR,4009,7548
396,HOGAR,4007,6872
397,HOGAR,4008,6175
398,HOGAR,4006,5464
399,HOGAR,4005,4264
400,HOGAR,4004,4093
401,HOGAR,4230,3572
402,HOGAR,4003,3313
403,HOGAR,4120,2974
404,HOGAR,4002,2945
405,HOGAR,4720,2391
406,HOGAR,4001,1987
407,HOGAR,4131,1512
408,HOGAR,4130,1172
409,HOGAR,4240,1071
410,HOGAR,4740,961
411,HOGAR,4250,585
412,HOGAR,4140,574
413,HOGAR,4700,569
414,HOGAR,4110,567
415,HOGAR,4410,556
416,HOGAR,4117,496
417,HOGAR,4560,467
418,HOGAR,4738,380
419,HOGAR,4100,345
420,HOGAR,4400,338
421,HOGAR,4200,305
422,HOGAR,4721,288
423,HOGAR,4770,280
424,HOGAR,4800,245
425,HOGAR,4760,231
426,HOGAR,4260,219
427,HOGAR,4620,211
428,HOGAR,4118,202
429,HOGAR,4150,191
430,HOGAR,4867,177
431,HOGAR,4630,169
432,HOGAR,4860,167
433,HOGAR,4151,165
434,HOGAR,4270,164
435,HOGAR,4600,158
436,HOGAR,4409,152
437,HOGAR,4711,150
438,HOGAR,4820,150
439,HOGAR,4500,139
440,HOGAR,4450,135
441,HOGAR,4279,128
442,HOGAR,4520,122
443,HOGAR,4880,117
444,HOGAR,4610,116
445,HOGAR,4890,115
446,HOGAR,4710,98
447,HOGAR,4116,97
448,HOGAR,4271,94
449,HOGAR,4569,93
450,HOGAR,4550,90
451,HOGAR,4280,87
452,HOGAR,4639,86
453,HOGAR,4745,78
454,HOGAR,4728,78
455,HOGAR,4628,76
456,HOGAR,4431,76
457,HOGAR,4510,75
458,HOGAR,4638,75
459,HOGAR,4470,73
460,HOGAR,4531,71
461,HOGAR,4838,67
462,HOGAR,4458,63
463,HOGAR,4460,61
464,HOGAR,4160,60
465,HOGAR,4850,59
466,HOGAR,4113,58
467,HOGAR,4810,54
468,HOGAR,4870,52
469,HOGAR,4750,48
470,HOGAR,4716,47
471,HOGAR,4727,45
472,HOGAR,4617,45
473,HOGAR,4713,44
474,HOGAR,4459,43
475,HOGAR,4660,42
476,HOGAR,4430,41
477,HOGAR,4640,36
478,HOGAR,4869,34
479,HOGAR,4859,34
480,HOGAR,4115,33
481,HOGAR,4567,30
482,HOGAR,4717,28
483,HOGAR,4149,28
484,HOGAR,4712,27
485,HOGAR,4715,27
486,HOGAR,4420,27
487,HOGAR,4568,26
488,HOGAR,4779,26
489,HOGAR,4480,24
490,HOGAR,4479,24
491,HOGAR,4540,22
492,HOGAR,4275,22
493,HOGAR,4210,21
494,HOGAR,4825,19
495,HOGAR,4729,19
496,HOGAR,4661,19
497,HOGAR,4857,18
498,HOGAR,4288,17
499,HOGAR,4887,17
500,HOGAR,4830,17
501,HOGAR,4868,16
502,HOGAR,4440,15
503,HOGAR,4692,15
504,HOGAR,4114,14
505,HOGAR,4650,13
506,HOGAR,4213,13
507,HOGAR,4878,12
508,HOGAR,4879,11
509,HOGAR,4889,11
510,HOGAR,4276,10
511,HOGAR,4888,10
512,HOGAR,4621,9
513,HOGAR,4530,8
514,HOGAR,4877,8
515,HOGAR,4212,8
516,HOGAR,4815,8
517,HOGAR,4532,7
518,HOGAR,4897,6
519,HOGAR,4619,6
520,HOGAR,4616,5
521,HOGAR,4629,4
522,HOGAR,4211,2
523,HOGAR,4778,1
524,HOGAR,4769,1
525,HOGAR,4812,1
526,HOGAR,4618,1
527,HOGAR,4813,1
528,HOGAR,4647,1
529,HOGAR,4898,1
530,HOGAR,4259,1
531,HOGAR,4558,1
532,HOGAR,4648,1
533,MODA Y COMPLEMENTOS,4009,12305
534,MODA Y COMPLEMENTOS,4007,11830
535,MODA Y COMPLEMENTOS,4008,10391
536,MODA Y COMPLEMENTOS,4006,10041
537,MODA Y COMPLEMENTOS,4230,9273
538,MODA Y COMPLEMENTOS,4005,8702
539,MODA Y COMPLEMENTOS,4120,8107
540,MODA Y COMPLEMENTOS,4004,7941
541,MODA Y COMPLEMENTOS,4720,7257
542,MODA Y COMPLEMENTOS,4003,6518
543,MODA Y COMPLEMENTOS,4002,6428
544,MODA Y COMPLEMENTOS,4131,5115
545,MODA Y COMPLEMENTOS,4130,5070
546,MODA Y COMPLEMENTOS,4740,4618
547,MODA Y COMPLEMENTOS,4001,4490
548,MODA Y COMPLEMENTOS,4240,4367
549,MODA Y COMPLEMENTOS,4700,4010
550,MODA Y COMPLEMENTOS,4110,3590
551,MODA Y COMPLEMENTOS,4117,3268
552,MODA Y COMPLEMENTOS,4410,3178
553,MODA Y COMPLEMENTOS,4140,2976
554,MODA Y COMPLEMENTOS,4560,2677
555,MODA Y COMPLEMENTOS,4250,2640
556,MODA Y COMPLEMENTOS,4738,2637
557,MODA Y COMPLEMENTOS,4770,2367
558,MODA Y COMPLEMENTOS,4400,1986
559,MODA Y COMPLEMENTOS,4100,1897
560,MODA Y COMPLEMENTOS,4200,1785
561,MODA Y COMPLEMENTOS,4721,1757
562,MODA Y COMPLEMENTOS,4620,1737
563,MODA Y COMPLEMENTOS,4760,1603
564,MODA Y COMPLEMENTOS,4800,1497
565,MODA Y COMPLEMENTOS,4860,1392
566,MODA Y COMPLEMENTOS,4867,1381
567,MODA Y COMPLEMENTOS,4600,1235
568,MODA Y COMPLEMENTOS,4270,1234
569,MODA Y COMPLEMENTOS,4711,1149
570,MODA Y COMPLEMENTOS,4150,1118
571,MODA Y COMPLEMENTOS,4500,1066
572,MODA Y COMPLEMENTOS,4260,1054
573,MODA Y COMPLEMENTOS,4745,1040
574,MODA Y COMPLEMENTOS,4630,1036
575,MODA Y COMPLEMENTOS,4151,1018
576,MODA Y COMPLEMENTOS,4409,1013
577,MODA Y COMPLEMENTOS,4610,962
578,MODA Y COMPLEMENTOS,4710,893
579,MODA Y COMPLEMENTOS,4880,891
580,MODA Y COMPLEMENTOS,4279,845
581,MODA Y COMPLEMENTOS,4520,836
582,MODA Y COMPLEMENTOS,4271,745
583,MODA Y COMPLEMENTOS,4118,739
584,MODA Y COMPLEMENTOS,4450,673
585,MODA Y COMPLEMENTOS,4639,653
586,MODA Y COMPLEMENTOS,4820,651
587,MODA Y COMPLEMENTOS,4470,622
588,MODA Y COMPLEMENTOS,4510,611
589,MODA Y COMPLEMENTOS,4890,551
590,MODA Y COMPLEMENTOS,4113,548
591,MODA Y COMPLEMENTOS,4750,545
592,MODA Y COMPLEMENTOS,4638,537
593,MODA Y COMPLEMENTOS,4116,505
594,MODA Y COMPLEMENTOS,4531,503
595,MODA Y COMPLEMENTOS,4280,502
596,MODA Y COMPLEMENTOS,4628,496
597,MODA Y COMPLEMENTOS,4550,477
598,MODA Y COMPLEMENTOS,4569,436
599,MODA Y COMPLEMENTOS,4850,434
600,MODA Y COMPLEMENTOS,4712,419
601,MODA Y COMPLEMENTOS,4431,416
602,MODA Y COMPLEMENTOS,4713,413
603,MODA Y COMPLEMENTOS,4617,393
604,MODA Y COMPLEMENTOS,4460,373
605,MODA Y COMPLEMENTOS,4870,368
606,MODA Y COMPLEMENTOS,4160,358
607,MODA Y COMPLEMENTOS,4716,349
608,MODA Y COMPLEMENTOS,4458,325
609,MODA Y COMPLEMENTOS,4715,319
610,MODA Y COMPLEMENTOS,4869,299
611,MODA Y COMPLEMENTOS,4810,295
612,MODA Y COMPLEMENTOS,4640,292
613,MODA Y COMPLEMENTOS,4717,286
614,MODA Y COMPLEMENTOS,4779,285
615,MODA Y COMPLEMENTOS,4660,285
616,MODA Y COMPLEMENTOS,4430,271
617,MODA Y COMPLEMENTOS,4728,255
618,MODA Y COMPLEMENTOS,4727,250
619,MODA Y COMPLEMENTOS,4540,248
620,MODA Y COMPLEMENTOS,4838,242
621,MODA Y COMPLEMENTOS,4859,211
622,MODA Y COMPLEMENTOS,4459,209
623,MODA Y COMPLEMENTOS,4149,198
624,MODA Y COMPLEMENTOS,4288,194
625,MODA Y COMPLEMENTOS,4650,184
626,MODA Y COMPLEMENTOS,4825,171
627,MODA Y COMPLEMENTOS,4440,166
628,MODA Y COMPLEMENTOS,4661,166
629,MODA Y COMPLEMENTOS,4567,163
630,MODA Y COMPLEMENTOS,4887,159
631,MODA Y COMPLEMENTOS,4420,154
632,MODA Y COMPLEMENTOS,4878,145
633,MODA Y COMPLEMENTOS,4830,141
634,MODA Y COMPLEMENTOS,4568,134
635,MODA Y COMPLEMENTOS,4888,132
636,MODA Y COMPLEMENTOS,4479,131
637,MODA Y COMPLEMENTOS,4857,131
638,MODA Y COMPLEMENTOS,4114,123
639,MODA Y COMPLEMENTOS,4692,121
640,MODA Y COMPLEMENTOS,4115,113
641,MODA Y COMPLEMENTOS,4210,109
642,MODA Y COMPLEMENTOS,4815,104
643,MODA Y COMPLEMENTOS,4480,99
644,MODA Y COMPLEMENTOS,4275,89
645,MODA Y COMPLEMENTOS,4877,87
646,MODA Y COMPLEMENTOS,4276,77
647,MODA Y COMPLEMENTOS,4532,77
648,MODA Y COMPLEMENTOS,4729,75
649,MODA Y COMPLEMENTOS,4879,75
650,MODA Y COMPLEMENTOS,4621,71
651,MODA Y COMPLEMENTOS,4889,66
652,MODA Y COMPLEMENTOS,4629,53
653,MODA Y COMPLEMENTOS,4868,48
654,MODA Y COMPLEMENTOS,4212,40
655,MODA Y COMPLEMENTOS,4897,34
656,MODA Y COMPLEMENTOS,4619,34
657,MODA Y COMPLEMENTOS,4530,33
658,MODA Y COMPLEMENTOS,4616,32
659,MODA Y COMPLEMENTOS,4213,30
660,MODA Y COMPLEMENTOS,4746,23
661,MODA Y COMPLEMENTOS,4211,23
662,MODA Y COMPLEMENTOS,4743,19
663,MODA Y COMPLEMENTOS,4259,17
664,MODA Y COMPLEMENTOS,4741,17
665,MODA Y COMPLEMENTOS,4778,14
666,MODA Y COMPLEMENTOS,4618,10
667,MODA Y COMPLEMENTOS,4839,9
668,MODA Y COMPLEMENTOS,4693,8
669,MODA Y COMPLEMENTOS,4648,7
670,MODA Y COMPLEMENTOS,4813,7
671,MODA Y COMPLEMENTOS,4647,7
672,MODA Y COMPLEMENTOS,4662,4
673,MODA Y COMPLEMENTOS,4898,3
674,MODA Y COMPLEMENTOS,4811,3
675,MODA Y COMPLEMENTOS,4769,3
676,MODA Y COMPLEMENTOS,4691,2
677,MODA Y COMPLEMENTOS,4812,2
678,MODA Y COMPLEMENTOS,4549,2
679,MODA Y COMPLEMENTOS,4558,2
680,OCIO Y TIEMPO LIBRE,4009,6544
681,OCIO Y TIEMPO LIBRE,4007,6524
682,OCIO Y TIEMPO LIBRE,4006,4779
683,OCIO Y TIEMPO LIBRE,4008,4315
684,OCIO Y TIEMPO LIBRE,4005,3857
685,OCIO Y TIEMPO LIBRE,4230,3507
686,OCIO Y TIEMPO LIBRE,4120,3245
687,OCIO Y TIEMPO LIBRE,4004,3166
688,OCIO Y TIEMPO LIBRE,4720,2619
689,OCIO Y TIEMPO LIBRE,4003,2589
690,OCIO Y TIEMPO LIBRE,4002,2389
691,OCIO Y TIEMPO LIBRE,4131,1695
692,OCIO Y TIEMPO LIBRE,4001,1432
693,OCIO Y TIEMPO LIBRE,4130,1409
694,OCIO Y TIEMPO LIBRE,4240,1108
695,OCIO Y TIEMPO LIBRE,4740,1069
696,OCIO Y TIEMPO LIBRE,4700,779
697,OCIO Y TIEMPO LIBRE,4117,709
698,OCIO Y TIEMPO LIBRE,4410,705
699,OCIO Y TIEMPO LIBRE,4110,649
700,OCIO Y TIEMPO LIBRE,4250,608
701,OCIO Y TIEMPO LIBRE,4140,589
702,OCIO Y TIEMPO LIBRE,4560,570
703,OCIO Y TIEMPO LIBRE,4738,493
704,OCIO Y TIEMPO LIBRE,4100,410
705,OCIO Y TIEMPO LIBRE,4770,409
706,OCIO Y TIEMPO LIBRE,4400,386
707,OCIO Y TIEMPO LIBRE,4200,305
708,OCIO Y TIEMPO LIBRE,4721,282
709,OCIO Y TIEMPO LIBRE,4867,260
710,OCIO Y TIEMPO LIBRE,4760,253
711,OCIO Y TIEMPO LIBRE,4620,253
712,OCIO Y TIEMPO LIBRE,4150,251
713,OCIO Y TIEMPO LIBRE,4860,248
714,OCIO Y TIEMPO LIBRE,4260,203
715,OCIO Y TIEMPO LIBRE,4270,197
716,OCIO Y TIEMPO LIBRE,4800,194
717,OCIO Y TIEMPO LIBRE,4711,193
718,OCIO Y TIEMPO LIBRE,4600,190
719,OCIO Y TIEMPO LIBRE,4151,187
720,OCIO Y TIEMPO LIBRE,4118,172
721,OCIO Y TIEMPO LIBRE,4500,157
722,OCIO Y TIEMPO LIBRE,4279,155
723,OCIO Y TIEMPO LIBRE,4880,152
724,OCIO Y TIEMPO LIBRE,4630,147
725,OCIO Y TIEMPO LIBRE,4745,143
726,OCIO Y TIEMPO LIBRE,4820,140
727,OCIO Y TIEMPO LIBRE,4710,130
728,OCIO Y TIEMPO LIBRE,4610,128
729,OCIO Y TIEMPO LIBRE,4271,125
730,OCIO Y TIEMPO LIBRE,4510,124
731,OCIO Y TIEMPO LIBRE,4409,123
732,OCIO Y TIEMPO LIBRE,4520,122
733,OCIO Y TIEMPO LIBRE,4639,110
734,OCIO Y TIEMPO LIBRE,4113,106
735,OCIO Y TIEMPO LIBRE,4450,104
736,OCIO Y TIEMPO LIBRE,4750,98
737,OCIO Y TIEMPO LIBRE,4890,96
738,OCIO Y TIEMPO LIBRE,4458,92
739,OCIO Y TIEMPO LIBRE,4716,92
740,OCIO Y TIEMPO LIBRE,4550,90
741,OCIO Y TIEMPO LIBRE,4638,87
742,OCIO Y TIEMPO LIBRE,4160,85
743,OCIO Y TIEMPO LIBRE,4470,83
744,OCIO Y TIEMPO LIBRE,4569,78
745,OCIO Y TIEMPO LIBRE,4116,74
746,OCIO Y TIEMPO LIBRE,4628,72
747,OCIO Y TIEMPO LIBRE,4280,72
748,OCIO Y TIEMPO LIBRE,4850,71
749,OCIO Y TIEMPO LIBRE,4713,65
750,OCIO Y TIEMPO LIBRE,4531,62
751,OCIO Y TIEMPO LIBRE,4460,60
752,OCIO Y TIEMPO LIBRE,4727,60
753,OCIO Y TIEMPO LIBRE,4431,60
754,OCIO Y TIEMPO LIBRE,4660,59
755,OCIO Y TIEMPO LIBRE,4712,57
756,OCIO Y TIEMPO LIBRE,4870,56
757,OCIO Y TIEMPO LIBRE,4869,53
758,OCIO Y TIEMPO LIBRE,4810,47
759,OCIO Y TIEMPO LIBRE,4640,45
760,OCIO Y TIEMPO LIBRE,4838,45
761,OCIO Y TIEMPO LIBRE,4430,43
762,OCIO Y TIEMPO LIBRE,4715,43
763,OCIO Y TIEMPO LIBRE,4661,40
764,OCIO Y TIEMPO LIBRE,4859,38
765,OCIO Y TIEMPO LIBRE,4717,34
766,OCIO Y TIEMPO LIBRE,4825,31
767,OCIO Y TIEMPO LIBRE,4540,31
768,OCIO Y TIEMPO LIBRE,4728,29
769,OCIO Y TIEMPO LIBRE,4568,28
770,OCIO Y TIEMPO LIBRE,4479,26
771,OCIO Y TIEMPO LIBRE,4288,26
772,OCIO Y TIEMPO LIBRE,4887,26
773,OCIO Y TIEMPO LIBRE,4888,26
774,OCIO Y TIEMPO LIBRE,4617,26
775,OCIO Y TIEMPO LIBRE,4115,25
776,OCIO Y TIEMPO LIBRE,4567,24
777,OCIO Y TIEMPO LIBRE,4480,21
778,OCIO Y TIEMPO LIBRE,4459,21
779,OCIO Y TIEMPO LIBRE,4440,20
780,OCIO Y TIEMPO LIBRE,4878,20
781,OCIO Y TIEMPO LIBRE,4149,20
782,OCIO Y TIEMPO LIBRE,4857,18
783,OCIO Y TIEMPO LIBRE,4692,18
784,OCIO Y TIEMPO LIBRE,4420,16
785,OCIO Y TIEMPO LIBRE,4815,16
786,OCIO Y TIEMPO LIBRE,4275,15
787,OCIO Y TIEMPO LIBRE,4889,15
788,OCIO Y TIEMPO LIBRE,4210,15
789,OCIO Y TIEMPO LIBRE,4729,15
790,OCIO Y TIEMPO LIBRE,4779,15
791,OCIO Y TIEMPO LIBRE,4114,14
792,OCIO Y TIEMPO LIBRE,4532,12
793,OCIO Y TIEMPO LIBRE,4276,12
794,OCIO Y TIEMPO LIBRE,4830,12
795,OCIO Y TIEMPO LIBRE,4650,9
796,OCIO Y TIEMPO LIBRE,4211,9
797,OCIO Y TIEMPO LIBRE,4619,9
798,OCIO Y TIEMPO LIBRE,4879,8
799,OCIO Y TIEMPO LIBRE,4530,7
800,OCIO Y TIEMPO LIBRE,4877,7
801,OCIO Y TIEMPO LIBRE,4629,6
802,OCIO Y TIEMPO LIBRE,4897,6
