,SECTOR,FECHA,media,Rad,Precip
352,MODA Y COMPLEMENTOS,2015-02-06,99.42105263157895,14.9,0.0
353,HOGAR,2015-02-06,120.96875,14.9,0.0
354,BELLEZA,2015-02-06,60.84615384615385,14.9,0.0
355,AUTO,2015-02-06,157.1304347826087,14.9,0.0
356,ALIMENTACION,2015-02-06,97.9375,14.9,0.0
357,TECNOLOGIA,2015-02-07,90.57894736842105,11.5,3.4
358,SALUD,2015-02-07,119.84210526315789,11.5,3.4
359,RESTAURACION,2015-02-07,52.64473684210526,11.5,3.4
360,OTROS,2015-02-07,46.0,11.5,3.4
361,OCIO Y TIEMPO LIBRE,2015-02-07,71.82051282051282,11.5,3.4
362,MODA Y COMPLEMENTOS,2015-02-07,90.3170731707317,11.5,3.4
363,HOGAR,2015-02-07,116.35,11.5,3.4
364,BELLEZA,2015-02-07,57.4375,11.5,3.4
365,AUTO,2015-02-07,99.81818181818181,11.5,3.4
366,ALIMENTACION,2015-02-07,101.84210526315789,11.5,3.4
367,TECNOLOGIA,2015-02-08,350.0,12.9,0.6
368,SALUD,2015-02-08,24.0,12.9,0.6
369,RESTAURACION,2015-02-08,46.6875,12.9,0.6
370,OTROS,2015-02-08,64.0,12.9,0.6
371,OCIO Y TIEMPO LIBRE,2015-02-08,55.857142857142854,12.9,0.6
372,MODA Y COMPLEMENTOS,2015-02-08,50.666666666666664,12.9,0.6
373,HOGAR,2015-02-08,16.0,12.9,0.6
374,ALIMENTACION,2015-02-08,,12.9,0.6
375,TECNOLOGIA,2015-02-09,146.12820512820514,13.4,0.0
376,SALUD,2015-02-09,118.82835820895522,13.4,0.0
377,RESTAURACION,2015-02-09,42.111111111111114,13.4,0.0
378,OTROS,2015-02-09,61.916666666666664,13.4,0.0
379,OCIO Y TIEMPO LIBRE,2015-02-09,81.0,13.4,0.0
380,MODA Y COMPLEMENTOS,2015-02-09,93.46017699115045,13.4,0.0
381,HOGAR,2015-02-09,63.75,13.4,0.0
382,BELLEZA,2015-02-09,63.33802816901409,13.4,0.0
383,AUTO,2015-02-09,84.76470588235294,13.4,0.0
384,ALIMENTACION,2015-02-09,78.07692307692308,13.4,0.0
385,TECNOLOGIA,2015-02-10,190.4102564102564,8.9,0.0
386,SALUD,2015-02-10,136.86206896551724,8.9,0.0
387,RESTAURACION,2015-02-10,45.91891891891892,8.9,0.0
388,OTROS,2015-02-10,84.0952380952381,8.9,0.0
389,OCIO Y TIEMPO LIBRE,2015-02-10,66.44117647058823,8.9,0.0
390,MODA Y COMPLEMENTOS,2015-02-10,113.98214285714286,8.9,0.0
391,HOGAR,2015-02-10,134.55,8.9,0.0
392,BELLEZA,2015-02-10,75.83098591549296,8.9,0.0
393,AUTO,2015-02-10,89.85185185185185,8.9,0.0
394,ALIMENTACION,2015-02-10,127.5,8.9,0.0
395,TECNOLOGIA,2015-02-11,125.41666666666667,13.8,0.0
396,SALUD,2015-02-11,127.39869281045752,13.8,0.0
397,RESTAURACION,2015-02-11,65.41379310344827,13.8,0.0
398,OTROS,2015-02-11,70.0,13.8,0.0
399,OCIO Y TIEMPO LIBRE,2015-02-11,64.2,13.8,0.0
400,MODA Y COMPLEMENTOS,2015-02-11,83.70192307692308,13.8,0.0
401,HOGAR,2015-02-11,108.82352941176471,13.8,0.0
402,BELLEZA,2015-02-11,61.57575757575758,13.8,0.0
403,AUTO,2015-02-11,164.38888888888889,13.8,0.0
404,ALIMENTACION,2015-02-11,90.7,13.8,0.0
405,TECNOLOGIA,2015-02-12,177.2156862745098,2.8,7.2
406,SALUD,2015-02-12,134.6171875,2.8,7.2
407,RESTAURACION,2015-02-12,48.775,2.8,7.2
408,OTROS,2015-02-12,205.55555555555554,2.8,7.2
409,OCIO Y TIEMPO LIBRE,2015-02-12,73.52272727272727,2.8,7.2
410,MODA Y COMPLEMENTOS,2015-02-12,73.77777777777777,2.8,7.2
411,HOGAR,2015-02-12,119.88679245283019,2.8,7.2
412,BELLEZA,2015-02-12,63.76470588235294,2.8,7.2
413,AUTO,2015-02-12,189.22857142857143,2.8,7.2
414,ALIMENTACION,2015-02-12,41.18181818181818,2.8,7.2
415,TECNOLOGIA,2015-02-13,81.0576923076923,14.6,0.0
416,SALUD,2015-02-13,156.0234375,14.6,0.0
417,RESTAURACION,2015-02-13,56.888888888888886,14.6,0.0
418,OTROS,2015-02-13,115.37837837837837,14.6,0.0
419,OCIO Y TIEMPO LIBRE,2015-02-13,69.5625,14.6,0.0
420,MODA Y COMPLEMENTOS,2015-02-13,108.97674418604652,14.6,0.0
421,HOGAR,2015-02-13,108.83783783783784,14.6,0.0
422,BELLEZA,2015-02-13,55.11214953271028,14.6,0.0
423,AUTO,2015-02-13,167.68965517241378,14.6,0.0
424,ALIMENTACION,2015-02-13,48.214285714285715,14.6,0.0
